-1.00000	0.35323	0.27813
-0.95000	0.34926	0.34346
-0.90000	0.31526	0.28645
-0.85000	0.24864	0.17560
-0.80000	0.14957	0.07534
-0.75000	0.02143	0.01373
-0.70000	-0.12914	-0.01249
-0.65000	-0.29237	-0.01900
-0.60000	-0.45603	-0.02090
-0.55000	-0.60637	-0.02878
-0.50000	-0.72931	-0.05437
-0.45000	-0.81189	-0.08165
-0.40000	-0.84362	-0.05835
-0.35000	-0.81774	-0.06245
-0.30000	-0.73219	-0.06657
-0.25000	-0.59011	-0.05163
-0.20000	-0.39983	-0.03572
-0.15000	-0.17428	-0.02615
-0.10000	0.07003	-0.02443
-0.05000	0.31454	-0.02855
0.00000	0.54030	-0.03503
0.05000	0.72986	-0.03996
0.10000	0.86885	-0.03799
0.15000	0.94736	-0.02005
0.20000	0.96079	0.02677
0.25000	0.91021	0.11148
0.30000	0.80205	0.22183
0.35000	0.64733	0.30977
0.40000	0.46042	0.30418
0.45000	0.25752	0.16007
0.50000	0.05509	-0.09123
0.55000	-0.13172	-0.34676
0.60000	-0.29034	-0.50060
0.65000	-0.41171	-0.51532
0.70000	-0.49080	-0.43180
0.75000	-0.52665	-0.32114
0.80000	-0.52202	-0.23378
0.85000	-0.48269	-0.18389
0.90000	-0.41659	-0.16295
0.95000	-0.33278	-0.15765
