0 3,04159265358979
2,78335506057959 -1,83496582556297
2,80306466601195 -1,84814620447676
2,82279412202342 -1,85940886665735
2,84257807272395 -1,86877835752894
2,86244713550135 -1,87626367783023
2,88242781285542 -1,88186022381861
2,90254241376636 -1,88555171179805
2,92280898852834 -1,88731210370925
2,94324130277143 -1,88710754526506
2,96384889128498 -1,88489830457994
2,98463723933477 -1,88064066394227
3,00560813664856 -1,87428867805838
3,02676023561538 -1,8657956785503
3,04808982058179 -1,85511538775389
3,06959176209799 -1,84220251478554
3,09126059382964 -1,8270127489017
3,11309161713875 -1,80950213822606
3,13508191445511 -1,7896259386097
3,15723113933996 -1,76733712783047
3,17954194556176 -1,74258489786962
3,20201991240847 -1,71531356435072
3,22467281047394 -1,68546247881207
3,24750902668828 -1,65296771152425
3,27053493634033 -1,61776649137545
3,29375100363613 -1,57980559559707
3,31714648075805 -1,53905491313654
3,34069287735474 -1,49552691086286
3,36433702249187 -1,44930117593021
3,38799554586325 -1,40055017250252
3,41155357070571 -1,34955836604939
3,43487039257504 -1,29672435782812
3,45779296723715 -1,24253830487143
3,48017451305795 -1,18753595890085
3,50189268034155 -1,13224152945585
3,52286184291032 -1,07711648379835
3,54303702110568 -1,02252707056327
3,56241044596854 -0,96873397455994
3,58100375022063 -0,915899619682188
3,59885886075586 -0,864105454441933
3,61602969405522 -0,813372312550837
3,63257562937439 -0,763679378273189
3,64855692241303 -0,714979674254616
3,66403179760834 -0,667211623507455
3,679054815544 -0,620307095463274
3,69367612475722 -0,57419666188365
3,70794128189784 -0,528812804857032
3,72189140958974 -0,48409170612746
3,73556353530263 -0,439974100481326
3,74899101086845 -0,396405540458886
3,76220395197377 -0,353336310745005
3,77522966343728 -0,310721149638575
3,78809303296052 -0,268518877855155
3,8008168863399 -0,226691996090818
3,81342230310779 -0,185206287214258
3,8259288948118 -0,144030442615247
3,83835504970656 -0,103135722117025
3,85071814821115 -0,0624956508303641
3,86303475351253 -0,0220857529298852
3,87532078143744 0,0181166794039569
3,88759165333049 0,0581327843446427
3,89986243525378 0,0979822986356678
3,91214796640962 0,137683697928406
3,92446297930365 0,177254310986556
3,93682221381449 0,216710408825798
3,94924052701113 0,256067269055323
3,96173300024717 0,295339214756866
3,97431504473809 0,334539626147986
3,98700250646652 0,37368092197822
3,99981177081761 0,412774506025915
4,0127598667677 0,451830672102073
4,02586456965628 0,490858458500361
4,03914450045476 0,529865439704876
4,05261921785761 0,568857439195787
4,0663092972541 0,607838142175379
4,08023638741673 0,646808580780924
4,09442323120543 0,685766456741004
4,10889363029542 0,724705257568415
4,1236723254154 0,763613112845272
